oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
L10,5,phenylene,-0.22021000000000002,-0.12745800000000002,0.08089304685924217,0.2176495225018403
L10,6,phenylene,-0.06201999999999995,-0.096024,0.07128215039496524,0.1530807789027688
L10,7,phenylene,-0.11518,-0.05389199999999997,0.05536224482968284,0.08067502810722647
L10,8,phenylene,-0.03241999999999999,-0.02763900000000008,0.03298167698273687,0.03518868172773567
L10,9,phenylene,-0.01978000000000002,-0.021360999999999852,0.01155745257328682,0.013175201186681834
L11,0,phenylene,-0.008739999999999998,-0.01419599999999982,0.009194158328393945,0.008334411445033746
L11,1,phenylene,-0.023930000000000007,-0.020537,0.026507126270049513,0.023980376324692763
L11,2,phenylene,-0.035269999999999996,-0.036109999999999975,0.04533662352373395,0.056538842977879235
L11,3,phenylene,-0.12989000000000006,-0.07843999999999998,0.06005439182459785,0.11403561654729887
L11,4,phenylene,-0.1239300000000001,-0.117895,0.07105416262309064,0.18542144559119564
L11,5,phenylene,-0.18216,-0.1352589999999999,0.0751041297111408,0.22254382961741015
L11,6,phenylene,-0.18745000000000006,-0.11795299999999997,0.0710542036502207,0.18542144559119564
L11,7,phenylene,-0.06856999999999999,-0.07850299999999998,0.060054399740023856,0.11403561654729887
L11,8,phenylene,-0.09023999999999999,-0.03616,0.04533655009503815,0.05653401451688069
L11,9,phenylene,-0.022380000000000018,-0.020550999999999986,0.026507099358600815,0.023980376324692767
L11,10,phenylene,-0.00962000000000001,-0.014222999999999986,0.009194139125783745,0.009174024516421702
L12,0,phenylene,-0.004920000000000008,-0.008794999999999942,0.007433798545744736,0.005815094257776518
L12,1,phenylene,-0.03128000000000006,-0.013633000000000006,0.02162654422554684,0.015570120712005902
L12,2,phenylene,-0.044019999999999976,-0.026589999999999975,0.0375261580541515,0.038852919562655526
L12,3,phenylene,-0.07351999999999999,-0.05996500000000002,0.050866638805790176,0.08208878861958278
L12,4,phenylene,-0.12461,-0.099542,0.062033307278802685,0.14920321323816696
L12,5,phenylene,-0.16880000000000006,-0.11836900000000003,0.06839142808867409,0.207922397355368
L12,6,phenylene,-0.14958,-0.11843299999999993,0.06839142740634961,0.207922397355368
L12,7,phenylene,-0.15685,-0.099688,0.06203325813771428,0.15001417851293444
L12,8,phenylene,-0.047599999999999976,-0.06008499999999999,0.05086660492772136,0.08209145947953164
L12,9,phenylene,-0.06439000000000002,-0.026642999999999945,0.037526075442795306,0.03907969954816001
L12,10,phenylene,-0.019620000000000002,-0.01367299999999999,0.021626536012312153,0.015570120712005904
L12,11,phenylene,-0.005290000000000003,-0.008831000000000089,0.007433788260843748,0.00586961064644428
